subject,headcoil,acq,tedana_minus_base,fd_mean
10017,64,mb1me4,0.48642299999999994,0.0658085916614474
10017,64,mb1me4,0.48642299999999994,0.0658085916614474
10017,64,mb1me4,0.48642299999999994,0.0658085916614474
10017,64,mb1me4,0.48642299999999994,0.0658085916614474
10024,64,mb1me4,-0.389033,
10035,64,mb1me4,-0.12868100000000002,
10041,64,mb1me4,-0.25864159999999997,
10043,64,mb1me4,-0.597042,0.0834429229632915
10043,64,mb1me4,-0.597042,0.0834429229632915
10043,64,mb1me4,-0.597042,0.0834429229632915
10043,64,mb1me4,-0.597042,0.0834429229632915
10054,64,mb1me4,-0.24230300000000005,
10059,64,mb1me4,-0.26379500000000006,
10069,64,mb1me4,-0.17298560000000002,0.360220739363674
10069,64,mb1me4,-0.17298560000000002,0.360220739363674
10069,64,mb1me4,-0.17298560000000002,0.360220739363674
10069,64,mb1me4,-0.17298560000000002,0.360220739363674
10074,64,mb1me4,-0.21189500000000006,0.0681478586406567
10074,64,mb1me4,-0.21189500000000006,0.0681478586406567
10074,64,mb1me4,-0.21189500000000006,0.0681478586406567
10074,64,mb1me4,-0.21189500000000006,0.0681478586406567
10078,64,mb1me4,-0.414338,
10080,64,mb1me4,0.021467000000000014,0.0911830881069275
10080,64,mb1me4,0.021467000000000014,0.0911830881069275
10080,64,mb1me4,0.021467000000000014,0.0911830881069275
10080,64,mb1me4,0.021467000000000014,0.0911830881069275
10085,64,mb1me4,0.28487090000000004,0.246418003740331
10085,64,mb1me4,0.28487090000000004,0.246418003740331
10085,64,mb1me4,0.28487090000000004,0.246418003740331
10085,64,mb1me4,0.28487090000000004,0.246418003740331
10108,64,mb1me4,,0.0510471398706209
10108,64,mb1me4,,0.0510471398706209
10108,64,mb1me4,,0.0510471398706209
10108,64,mb1me4,,0.0510471398706209
10125,64,mb1me4,-0.09183200000000002,0.1328543610045844
10125,64,mb1me4,-0.09183200000000002,0.1328543610045844
10125,64,mb1me4,-0.09183200000000002,0.1328543610045844
10125,64,mb1me4,-0.09183200000000002,0.1328543610045844
10130,64,mb1me4,-0.264346,
10136,64,mb1me4,-0.10904599999999998,0.269363230065085
10136,64,mb1me4,-0.10904599999999998,0.269363230065085
10136,64,mb1me4,-0.10904599999999998,0.269363230065085
